b',  MacBook Pro (15-inch, 2018) i7';750 000 тг.;Алматы, Алмалинский район;https://www.olx.kz/obyavlenie/skidka-prodam-macbook-pro-15-inch-2018-i7-IDhWTP9.html#97b6d4913e
"b"" Apple Macbook PRO 17'  2008.""";50 000 тг.;Алматы, Медеуский район;https://www.olx.kz/obyavlenie/noutbuk-apple-macbook-pro-17-diagonal-2008g-IDhC5cF.html#97b6d4913e
b'Macbook Pro mid 2014 13 512Gb/i7/16Gb   ';390 000 тг.;Алматы, Бостандыкский район;https://www.olx.kz/obyavlenie/macbook-pro-mid-2014-13-512gb-i7-16gb-v-maksimalnoy-komplektatsii-IDiFuMP.html#97b6d4913e
b' Macbook air 13 core I5 ( 2015 ,   2017)';250 000 тг.;Алматы, Турксибский район;https://www.olx.kz/obyavlenie/srochno-macbook-air-13-core-i5-model-2015-goda-kupili-v-2017-IDiCr4S.html#97b6d4913e
b'Macbook Air 13 2015 , 128   8 ';270 000 тг.;Алматы, Бостандыкский район;https://www.olx.kz/obyavlenie/macbook-air-13-2015-goda-128-gb-ozu-8-gb-IDiFtZJ.html#97b6d4913e
b'MacBook PRO 13 (2016) A1706 witch Touch Bar';500 000 тг.;Алматы, Алмалинский район;https://www.olx.kz/obyavlenie/macbook-pro-13-2016-a1706-witch-touch-bar-IDiCKWn.html#97b6d4913e
b' MACBOOK  AIR  PRO       ';8 000 тг.;Алматы, Бостандыкский район;https://www.olx.kz/obyavlenie/dlya-macbook-na-air-ili-pro-blok-pitaniya-zaryadka-adapter-k-lyuboy-modeli-IDhIMDI.html#97b6d4913e
b' Type-C  Sata 3.0 (HDD 2.5, SSD)  MacBook. ';3 400 тг.;Алматы, Алмалинский район;https://www.olx.kz/obyavlenie/perehodnik-type-c-na-sata-3-0-hdd-2-5-ssd-dlya-macbook-almaty-IDhYPys.html#97b6d4913e
b' MACBOOK    Air Pro      ';8 000 тг.;Алматы, Алатауский район;https://www.olx.kz/obyavlenie/k-macbook-na-makbuki-dlya-air-pro-zaryadka-blok-pitaniya-ot-vseh-modeley-IDh99wF.html#97b6d4913e
b'   MacBook Magsafe 1/2-45W,60W,85W ';25 000 тг.;Алматы, Алмалинский район;https://www.olx.kz/obyavlenie/adapter-pitaniya-dlya-macbook-magsafe-1-2-45w-60w-85w-original-IDelfxM.html#97b6d4913e
b'   Apple MacBook USB-C  18w/30w/61w/87w';25 000 тг.;Алматы, Алмалинский район;https://www.olx.kz/obyavlenie/adapter-pitaniya-dlya-apple-macbook-usb-c-moschnostyu-18w-30w-61w-87w-IDelfe6.html#97b6d4913e
b'Macbook';180 000 тг.;Алматы, Алмалинский район;https://www.olx.kz/obyavlenie/macbook-IDiFkcj.html#97b6d4913e
b'Macbook air 13 2017mid 500gb  2018';360 000 тг.;Алматы, Ауэзовский район;https://www.olx.kz/obyavlenie/macbook-air-13-2017mid-500gb-kuplen-2018-IDi0Vvx.html#97b6d4913e
b'MacBook Pro (Retina, 13-inch, Mid 2014)';200 000 тг.;Алматы, Медеуский район;https://www.olx.kz/obyavlenie/macbook-pro-retina-13-inch-mid-2014-IDiFhLD.html#97b6d4913e
b'Macbook Air (  2017) -  ';260 000 тг.;Алматы, Алатауский район;https://www.olx.kz/obyavlenie/macbook-air-kuplen-v-2017-bez-torga-IDiFfJd.html#97b6d4913e
b'MacBook Pro (15-inch, 2017)';850 000 тг.;Алматы, Бостандыкский район;"https://www.olx.kz/obyavlenie/macbook-pro-15-inch-2017-IDi53zm.html#ca1e374241;promoted"
b' Mac-Book     Air Pro   magsafe type-c';5 999 тг.;Алматы, Медеуский район;"https://www.olx.kz/obyavlenie/ot-mac-book-zaryadki-bloki-pitaniya-dlya-air-pro-makbuka-k-magsafe-type-c-IDiqY0s.html#ca1e374241;promoted"
b' Apple MacBook Pro 13 Retina MUHP2 with Touch Bar 256gb 2019';690 000 тг.;Алматы, Алмалинский район;"https://www.olx.kz/obyavlenie/noutbuk-apple-macbook-pro-13-retina-muhp2-with-touch-bar-256gb-2019-IDgFoEr.html#ca1e374241;promoted"
b'Macbook Pro Retina 2017';420 000 тг.;Алматы, Медеуский район;"https://www.olx.kz/obyavlenie/macbook-pro-retina-2017-IDith8U.html#ca1e374241;promoted"
b' MacBook        Air Pro  ';6 000 тг.;Алматы, Медеуский район;"https://www.olx.kz/obyavlenie/ot-macbook-na-lyubye-modeli-zaryadki-bloki-pitaniya-dlya-air-pro-makbuka-k-IDi3KOe.html#ca1e374241;promoted"
b'MacBook Air 13 , ssd 256 g , 2010 ';85 000 тг.;Алматы, Турксибский район;https://www.olx.kz/obyavlenie/macbook-air-13-ssd-256-g-2010-g-IDiFcU9.html#ca1e374241
b' MACBOOK         ';8 000 тг.;Алматы, Медеуский район;https://www.olx.kz/obyavlenie/ot-macbook-na-makbuk-zaryadnoe-ustroystvo-blok-pitaniya-zaryadka-v-almaty-IDgZ5nC.html#ca1e374241
b' MACBOOK    45 | 60 | 85 W  Air Pro  ';7 999 тг.;Алматы, Жетысуский район;https://www.olx.kz/obyavlenie/na-macbook-s-magnitnym-razemom-45-60-85-w-ot-air-pro-blok-pitaniya-IDh8Px9.html#ca1e374241
b'       MACBOOK   ';7 990 тг.;Алматы, Медеуский район;https://www.olx.kz/obyavlenie/zaryadnoe-ustroystvo-blok-pitaniya-zaryadka-na-makbuk-macbook-v-almaty-ot-IDgZqRW.html#ca1e374241
"b' Macbook Pro 2018 15"", 32GB RAM, 512 SSD, Radeon 560X 4GB'";999 990 тг.;Алматы, Медеуский район;https://www.olx.kz/obyavlenie/prodam-macbook-pro-2018-15-32gb-ram-512-ssd-radeon-560x-4gb-IDiF8j0.html#ca1e374241
